,no.peserta,kode.pendidikan,twk.nilai,tiu.nilai,tkp.nilai,skd.nilai,skd.keterangan,kode.formasi,lokasi.formasi,nama.pendidikan,jk,kode.formasi_x,lokasi.formasi_x,kode.prodi_y,nama.prodi_y,no.ujian_x,psi.keterangan,mtk.nilai,mtk.keterangan,t2.keterangan,hasil.akhir_x
14738,S2240160125304613,3001005,70,105,172,347,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14739,S2240160125301416,3001005,75,105,166,346,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14740,S2240160113300998,3171110,85,80,178,343,P,40160012,Nusa Tenggara Timur,SMK TEKNOLOGI INFORMASI DAN KOMUNIKASI,Lk,,,,,,,,,,
14741,S2240160113518203,3001005,65,100,177,342,P,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14742,S2240160125300325,3000020,75,90,176,341,P,40160012,Nusa Tenggara Timur,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
14743,S2240160115302011,3001005,90,80,160,330,P,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14744,S2240160125302341,3001005,75,95,158,328,P,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14745,S2240160115304192,3001005,60,130,168,358,TL,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14746,S2240160115303140,3001005,95,75,185,355,TL,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14747,S2240160125300617,3001005,55,100,198,353,TL,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14748,S2240160125303665,3001005,85,120,146,351,TL,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14749,S2240160115304576,3001005,90,70,187,347,TL,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14750,S2240160125301999,3001005,60,105,179,344,TL,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14751,S2240160115301942,3001005,60,100,182,342,TL,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14752,S2240160121206317,3001005,85,75,181,341,TL,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14753,S2240160125304178,3001005,60,90,186,336,TL,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14754,S2240160125300361,3004002,90,75,170,335,TL,40160012,Nusa Tenggara Timur,SMA IPS,Pr,,,,,,,,,,
14755,S2240160115304507,3004002,65,70,193,328,TL,40160012,Nusa Tenggara Timur,SMA IPS,Lk,,,,,,,,,,
14756,S2240160125300376,3001005,80,60,184,324,TL,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14757,S2240160115304897,3001005,60,80,179,319,TL,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14758,S2240160115304905,3001005,70,60,187,317,TL,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14759,S2240160125303287,3001005,90,70,155,315,TL,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14760,S2240160125301539,3004002,60,75,178,313,TL,40160012,Nusa Tenggara Timur,SMA IPS,Pr,,,,,,,,,,
14761,S2240160115100228,3001005,75,60,178,313,TL,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14762,S2240160125300927,3001005,60,100,151,311,TL,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14763,S2240160115300013,3001005,75,60,172,307,TL,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14764,S2240160115300297,3004002,60,80,167,307,TL,40160012,Nusa Tenggara Timur,SMA IPS,Lk,,,,,,,,,,
14765,S2240160125300655,3001005,70,70,165,305,TL,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14766,S2240160125300750,3001005,50,80,170,300,TL,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14767,S2240160121205031,3001005,55,70,173,298,TL,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14768,S2240160125302350,3001005,50,75,168,293,TL,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14769,S2240160115304660,3001005,65,75,153,293,TL,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14770,S2240160125301058,3001005,55,65,161,281,TL,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14771,S2240160125301784,3004002,75,25,169,269,TL,40160012,Nusa Tenggara Timur,SMA IPS,Pr,,,,,,,,,,
14772,S2240160125301643,3171110,55,40,163,258,TL,40160012,Nusa Tenggara Timur,SMK TEKNOLOGI INFORMASI DAN KOMUNIKASI,Pr,,,,,,,,,,
14773,S2240160123319154,3001005,80,55,109,244,TL,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14774,S2240160115300196,3000020,50,50,141,241,TL,40160012,Nusa Tenggara Timur,MADRASAH ALIYAH IPA,Lk,,,,,,,,,,
14775,S2240160125302202,3001005,45,55,37,137,TL,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14776,S2240160115101818,3001005,0,0,0,0,TH,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14777,S2240160129101344,3001005,0,0,0,0,TH,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14778,S2240160113308170,3001005,0,0,0,0,TH,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14779,S2240160125303052,3001005,0,0,0,0,TH,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14780,S2240160125303854,3001005,0,0,0,0,TH,40160012,Nusa Tenggara Timur,SMA IPA,Pr,,,,,,,,,,
14781,S2240160115201239,3001005,0,0,0,0,TH,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14782,S2240160115101780,3001005,0,0,0,0,TH,40160012,Nusa Tenggara Timur,SMA IPA,Lk,,,,,,,,,,
14783,S2240160115201967,3000020,130,170,194,494,P/L,40160013,Nusa Tenggara Barat,MADRASAH ALIYAH IPA,Lk,40160013,PROVINSI NUSA TENGGARA BARAT,5000501,D-IV KOMPUTASI STATISTIK,5201967,TL,175.0,P,TL,
14784,S2240160125202126,3001005,105,155,195,455,P/L,40160013,Nusa Tenggara Barat,SMA IPA,Pr,40160013,PROVINSI NUSA TENGGARA BARAT,5000501,D-IV KOMPUTASI STATISTIK,5202126,TL,110.0,P,TL,
14785,S2240160125202940,3001005,120,160,173,453,P/L,40160013,Nusa Tenggara Barat,SMA IPA,Pr,40160013,PROVINSI NUSA TENGGARA BARAT,5000501,D-IV KOMPUTASI STATISTIK,5202940,P,95.0,P,P/L,Tidak Lulus
14786,S2240160125201673,3000020,90,165,185,440,P/L,40160013,Nusa Tenggara Barat,MADRASAH ALIYAH IPA,Pr,40160013,PROVINSI NUSA TENGGARA BARAT,5000501,D-IV KOMPUTASI STATISTIK,5201673,P,130.0,P,P/L,Lulus
14787,S2240160115200906,3001005,95,160,185,440,P/L,40160013,Nusa Tenggara Barat,SMA IPA,Lk,40160013,PROVINSI NUSA TENGGARA BARAT,5000501,D-IV KOMPUTASI STATISTIK,5200906,TL,95.0,P,TL,
14788,S2240160115203455,3001005,100,150,183,433,P,40160013,Nusa Tenggara Barat,SMA IPA,Lk,,,,,,,,,,
14789,S2240160125203464,3001005,105,135,189,429,P,40160013,Nusa Tenggara Barat,SMA IPA,Pr,,,,,,,,,,
14790,S2240160115201329,3001005,85,155,184,424,P,40160013,Nusa Tenggara Barat,SMA IPA,Lk,,,,,,,,,,
